Date-Time,SPYA192444000.U,SPYK172343000.U,SPYK172343500.U,SPYK172344000.U,SPYK172344500.U,SPYK172345000.U,SPYL152344000.U,SPYM192440000.U,SPYW032341000.U,SPYW172340000.U,SPYW172340500.U,SPYW172341000.U,SPYW172341500.U,SPYW172342000.U,SPYW172342200.U,SPYW172342500.U,SPYW172343000.U,SPYX152340000.U,SPYX152341000.U,SPYX152342000.U
2023-10-30T12:00:00.000000000-04,-0.04669260700389111,-0.08921933085501865,-0.09917355371900816,-0.08163265306122447,-0.09523809523809534,0.0,-0.06760563380281692,0.02950215119852495,0.09808102345415803,0.05870841487279854,0.05988857938718661,0.05794205794205798,0.05716353111432704,0.056144067796610075,0.05037664783427487,0.044699367088607556,0.035336756266988845,0.039787798408488007,0.0375146541617819,0.03616352201257844
2023-10-30T13:00:00.000000000-04,0.1521739130434785,0.3265306122448979,0.3853211009174311,0.3999999999999999,0.3157894736842106,0.0,0.21385542168674676,-0.09569377990430605,-0.31456310679611654,-0.2033271719038816,-0.19342105263157894,-0.18199052132701432,-0.16952642415923136,-0.15895372233400418,-0.14991023339317788,-0.13896251419916694,-0.12153082091732403,-0.12691652470187398,-0.11814584511023163,-0.1063829787234043
2023-10-30T14:00:00.000000000-04,0.0,0.0,-0.013245033112582738,0.0,0.0,0.18181818181818188,-0.012345679012345623,-0.007279947054930513,-0.04532577903682722,-0.006960556844547772,-0.009819967266775698,-0.0139049826187716,-0.016542597187758412,-0.011983223487118,-0.014285714285714124,-0.010114335971855737,-0.0016677785190125638,-0.009765625,-0.009627727856225898,-0.01106382978723397
2023-10-30T15:00:00.000000000-04,-0.027027027027027084,-0.05487804878048774,-0.07947019867549676,-0.08064516129032251,0.0,0.0,-0.03491271820448871,0.014676450967311627,-0.014880952380952439,0.021126760563380254,0.018333333333333313,0.018845700824499545,0.021848739495798464,0.02256097560975645,0.014626218851570894,0.01426024955436711,0.01008742434431742,0.008875739644970349,0.018300653594771177,0.014642549526270532
2023-10-30T16:00:00.000000000-04,0.007263922518159882,-0.012779552715655007,0.0,-0.03389830508474556,-0.08000000000000007,-0.15384615384615385,-0.005154639175257714,-0.009180327868852478,-0.02670623145400597,0.004662004662004726,-0.01292407108239102,-0.0034762456546928444,-0.0024855012427507095,-0.01130952380952388,-0.0031562335612834724,0.020767494356659144,-0.006939854593522865,-0.0009784735812130574,-0.008290816326530503,-0.0034042553191488967
2023-10-31T09:00:00.000000000-04,-0.08633093525179858,-0.16242038216560517,-0.15441176470588236,-0.17543859649122817,0.11764705882352944,0.0,-0.1253196930946292,0.049518569463548934,0.2555555555555553,0.11488250652741505,0.11413043478260887,0.10957178841309823,0.10638297872340408,0.07906388361796357,0.09682804674457435,0.09120221096268977,0.08384879725085903,0.06378600823045288,0.06300268096514738,0.06841403820524206
2023-10-31T10:00:00.000000000-04,0.08377659574468077,0.17898832684824906,0.18421052631578938,0.17021276595744705,0.21052631578947367,0.0,0.11869436201780403,-0.07792207792207795,-0.24927536231884062,-0.16091954022988486,-0.15384615384615397,-0.1465324384787473,-0.1298495645288995,-0.11875000000000013,-0.10248604769152725,-0.105020920502092,-0.10526315789473684,-0.10354745925215725,-0.09443402126328948,-0.08127062706270638
2023-10-31T11:00:00.000000000-04,-0.012210012210012389,-0.02588996763754048,-0.028776978417266008,0.0,0.0,0.0,-0.023684210526315752,-0.011315417256011373,-0.031620553359683834,-0.024861878453038666,-0.015296367112810683,-0.01844532279314881,-0.015653775322283625,-0.009791122715404721,-0.011396011396011319,-0.009385265133740162,-0.005255781359495448,-0.013963480128893702,-0.008310249307479256,-0.008152173913043459
2023-10-31T12:00:00.000000000-04,-0.002466091245376001,0.0066006600660064585,0.0,0.0,-0.08695652173913027,0.0,-0.005390835579514697,-0.025751072961373356,-0.09053497942386823,-0.05099150141643072,-0.05048543689320384,-0.041554959785522816,-0.03554724041159951,-0.0316413974950559,-0.025996533795494048,-0.030820293978188862,-0.020112914608327426,-0.0359085963003265,-0.030154277699859677,-0.024223034734917603
2023-10-31T13:00:00.000000000-04,0.04944375772558729,0.11147540983606552,0.11851851851851847,0.07272727272727253,0.09523809523809512,0.0,0.06504065040650397,-0.055882352941176494,-0.23529411764705888,-0.12537313432835817,-0.11860940695296529,-0.10659186535764376,-0.09990300678952468,-0.09053778080326769,-0.0861556743909685,-0.07541625857002954,-0.06432959884351286,-0.07457627118644072,-0.06869125090383232,-0.06044985941893166
2023-10-31T14:00:00.000000000-04,-0.014134275618374437,-0.0058651026392962935,-0.013245033112582738,0.0,-0.08695652173913027,0.0,-0.020408163265306145,-0.024105754276827263,-0.13173652694610782,-0.05460750853242324,-0.05773672055427248,-0.045741324921135695,-0.041081081081080995,-0.036009002250562694,-0.03190104166666652,-0.031283138918345665,-0.022411128284389514,-0.03166869671132777,-0.027993779160186527,-0.02447552447552437
2023-10-31T15:00:00.000000000-04,-0.004773269689737347,0.014705882352941346,0.01342281879194629,-0.03389830508474556,0.0,0.0,-0.01041666666666663,-0.0023923444976076125,-0.01379310344827589,0.0072202166064982976,0.0171568627450982,0.0033112582781458233,-0.004514672686230181,-0.00311284046692617,-0.008754208754208848,-0.0010946907498631253,-0.0031746031746032743,-0.0012578616352202365,-0.005604483586869491,-0.006150691952844567
2023-10-31T16:00:00.000000000-04,-0.025362318840579823,-0.05830903790087438,-0.06711409395973156,-0.07017543859649134,-0.09523809523809534,-0.18181818181818188,-0.044619422572178324,0.02232854864433831,0.09395973154362403,0.04946996466431086,0.04523809523809552,0.04707792207792205,0.0479910714285714,0.05046583850931685,0.05036937541974473,0.04961832061068705,0.03803486529318545,0.028894472361808976,0.02711323763955331,0.029743589743589594
2023-11-01T09:00:00.000000000-04,0.010368663594469973,0.03794037940379402,0.0239520958083832,0.06153846153846132,0.08000000000000007,0.18181818181818166,0.04030226700251882,-0.013745704467354014,0.01041666666666674,0.004385964912280604,-0.025423728813559254,-0.024482109227872084,-0.023989898989898895,-0.015557476231633505,-0.022172949002217335,-0.02670623145400608,-0.008894536213468918,-0.016783216783216925,-0.016622922134733153,-0.039614561027837225
