Date-Time,SPYE221011300.U,SPYE221011400.U,SPYE221011500.U,SPYE221011600.U,SPYE221011700.U,SPYE221011800.U,SPYE221011900.U,SPYE221012000.U,SPYE221012100.U,SPYF191011600.U,SPYF191011800.U,SPYF191012000.U,SPYQ221011000.U,SPYQ221011200.U,SPYQ221011300.U,SPYQ221011400.U,SPYQ221011500.U,SPYQ221011600.U,SPYQ221011700.U,SPYQ221011800.U,SPYR191011500.U,SPYR191011800.U
2010-05-06T11:20:00.000000000-04,0.016109045848822667,0.016566265060240948,0.015009380863039379,0.01937046004842613,0.012944983818770295,0.009049773755656298,0.0,0.0,-0.03389830508474556,0.009104704097116834,0.0022321428571427937,0.014234875444839812,-0.05263157894736836,-0.05327868852459028,-0.061855670103092675,-0.06303724928366783,-0.04347826086956541,-0.048484848484848575,-0.050590219224283306,-0.0399429386590584,-0.03042876901798075,-0.025870646766169347
2010-05-06T11:25:00.000000000-04,0.019607843137254832,0.017830609212481363,0.020370370370370372,0.014388489208633226,0.02893890675241151,0.02690582959641241,0.013245033112582849,0.021052631578947434,0.0350877192982455,0.01649175412293835,0.013245033112582849,0.0176678445229681,-0.06790123456790131,-0.05194805194805163,-0.05090909090909079,-0.04229607250755274,-0.03053435114503822,-0.044117647058823484,-0.0248667850799289,-0.02954209748892156,-0.02275960170697,-0.024415055951169884
2010-05-06T11:30:00.000000000-04,-0.0230582524271844,-0.026431718061674103,-0.025782688766114115,-0.03080568720379162,-0.03797468354430378,-0.05286343612334765,-0.039735099337748325,-0.061855670103092675,-0.06779661016949146,-0.01928783382789334,-0.019736842105263164,-0.027874564459930307,0.013157894736842035,0.02262443438914019,0.022641509433962037,0.03785488958990535,0.031331592689294974,0.0393873085339167,0.0362976406533575,0.030257186081694476,0.02608695652173898,0.023908523908523716
2010-05-06T11:35:00.000000000-04,0.009937888198757516,0.021180030257186067,0.02457466918714557,0.041975308641975406,0.043333333333333224,0.027906976744185963,0.02758620689655178,0.0439560439560438,0.07547169811320753,0.00911854103343468,0.006726457399103047,0.0072202166064982976,0.012820512820512775,-0.013157894736842035,0.0,-0.006079027355623268,-0.00757575757575768,-0.012578616352201144,-0.012195121951219523,-0.01895043731778412,-0.008462623413258208,-0.01012145748987836
2010-05-06T11:40:00.000000000-04,-0.019680196801967864,-0.03576751117734711,-0.04051565377532229,-0.05450236966824651,-0.032154340836012985,-0.03619909502262442,-0.06622516556291391,-0.06315789473684208,-0.052631578947368474,-0.022488755622188994,-0.03547671840354771,-0.03558718861209953,0.06289308176100628,0.061674008810572944,0.0586080586080584,0.04255319148936154,0.04603580562659837,0.04631578947368431,0.0585106382978724,0.04712812960235624,0.031205673758865293,0.020429009193054126
2010-05-06T11:45:00.000000000-04,-0.035220125786163514,-0.04287901990811627,-0.04222648752399227,-0.049627791563275236,-0.053511705685618804,-0.05660377358490576,-0.055944055944055826,-0.04395604395604402,-0.036363636363636376,-0.02782071097372496,-0.036446469248291646,-0.04029304029304037,0.07831325301204828,0.09282700421940926,0.08771929824561431,0.08405797101449286,0.07823960880195613,0.06464646464646462,0.06576728499156848,0.053900709219858234,0.044321329639888996,0.03493013972055903
2010-05-06T11:50:00.000000000-04,0.04836601307189525,0.0642054574638844,0.05566600397614341,0.07611548556430447,0.07719298245614059,0.09045226130653261,0.09022556390977443,0.06896551724137923,0.07547169811320753,0.034755134281200695,0.040000000000000036,0.045283018867924296,-0.04444444444444451,-0.06896551724137956,-0.06430868167202575,-0.06970509383378032,-0.06772009029345372,-0.05714285714285716,-0.05288461538461542,-0.04858299595141702,-0.042553191489361764,-0.03646833013435724
2010-05-06T11:55:00.000000000-04,0.006218905472636926,0.007541478129713397,0.005639097744360777,0.004842615012106588,0.009868421052631637,0.0,0.013605442176870763,0.021505376344086002,0.0350877192982455,0.007645259938838134,0.008988764044943753,0.021818181818181737,-0.029585798816567976,-0.04115226337448541,-0.02768166089965396,-0.03458213256484155,-0.038647342995169254,-0.028282828282828243,-0.028813559322033888,-0.025677603423680417,-0.012517385257301838,-0.016000000000000014
2010-05-06T12:00:00.000000000-04,0.019656019656019597,0.026825633383010583,0.03531598513011147,0.02877697841726623,0.04530744336569592,0.03587443946188307,0.046666666666666634,0.06315789473684208,0.0,0.019578313253011848,0.01330376940133049,0.02135231316725994,-0.05555555555555558,-0.02597402597402576,-0.03971119133573986,-0.03903903903903905,-0.03759398496240607,-0.03958333333333364,-0.036713286713286886,-0.039416058394160514,-0.029661016949152574,-0.025432349949135458
2010-05-06T12:05:00.000000000-04,-0.01918465227817745,-0.0160349854227404,-0.023465703971118912,-0.018691588785046953,-0.024922118380062308,-0.026200873362445254,-0.031847133757961776,-0.020000000000000018,0.0,-0.016320474777448135,-0.019736842105263164,-0.021052631578947212,0.019354838709677358,0.008888888888888724,0.011111111111111294,0.012383900928792269,0.010282776349614497,0.017278617710583255,0.018018018018018056,0.021180030257186067,0.01304347826086949,0.009355509355509328
2010-05-06T12:10:00.000000000-04,0.04221954161640551,0.04392386530014636,0.051001821493624755,0.07125890736342044,0.08653846153846145,0.10762331838564987,0.10596026490066213,0.10309278350515472,0.09836065573770503,0.05438066465256819,0.060133630289532114,0.07885304659498193,-0.09433962264150952,-0.11061946902654873,-0.09454545454545449,-0.10942249240121593,-0.08651399491094147,-0.07741935483870976,-0.07079646017699126,-0.08862629246676512,-0.05865522174535054,-0.04334365325077416
2010-05-06T12:15:00.000000000-04,-0.029988465974625123,-0.027972027972028024,-0.04310344827586221,-0.039735099337748325,-0.04664723032069973,-0.057142857142857384,-0.059880239520958,-0.05504587155963303,-0.08955223880597019,-0.014285714285714235,-0.02291666666666692,-0.01661129568106301,-0.014084507042253502,0.01990049751243772,0.016460905349794164,0.027491408934708028,0.022408963585434094,0.03537735849056611,0.027079303675048516,0.025931928687196182,0.016666666666666607,0.023913043478260843
2010-05-06T12:20:00.000000000-04,-0.014134275618374437,-0.0028776978417266452,-0.010695187165775333,-0.011441647597253968,-0.006153846153846065,0.0,-0.012578616352201255,-0.01941747572815533,-0.031746031746031744,-0.008720930232558266,-0.008528784648187404,-0.0068259385665527805,0.028571428571428692,0.019323671497584627,0.03238866396761142,0.03691275167785224,0.021917808219177992,0.018223234624145768,0.026465028355387554,0.0219780219780219,0.014903129657228176,0.009544008483563182
