Date-Time,SPYA192443000.U,SPYA192445000.U,SPYA192446000.U,SPYK032343000.U,SPYK032343500.U,SPYK032343600.U,SPYK032344000.U,SPYK102343500.U,SPYK102344000.U,SPYK172342500.U,SPYK172343200.U,SPYK172343800.U,SPYK172344200.U,SPYK172345200.U,SPYK172345500.U,SPYK172346000.U,SPYL152343000.U,SPYL152343500.U,SPYL152344500.U,SPYL152345000.U,SPYL152345500.U,SPYL152346000.U,SPYL292345000.U,SPYW032340000.U,SPYW032340500.U,SPYW032341500.U,SPYW032342000.U,SPYW032342200.U,SPYW032342500.U,SPYW102340000.U,SPYW102342000.U,SPYW172339000.U,SPYW172340700.U,SPYW172340800.U,SPYW172341200.U,SPYW172341700.U,SPYW172341800.U,SPYW172342300.U,SPYW172342400.U,SPYW172343500.U,SPYX152339000.U,SPYX152341500.U,SPYX152342500.U
2023-10-27T14:00:00.000000000-04,-0.0427682737169518,-0.046052631578947456,-0.03007518796992481,-0.25806451612903236,-0.18181818181818188,0.0,0.0,-0.14634146341463428,-0.11764705882352922,-0.0932400932400933,-0.11976047904191611,-0.11940298507462699,-0.108108108108108,0.0,0.0,0.0,-0.06442953020134223,-0.06431535269709554,-0.07734806629834257,-0.07339449541284415,-0.059701492537313494,-0.046511627906976605,-0.05095541401273884,0.12891986062717775,0.11992263056092844,0.07391613361762617,0.05915759583530522,0.05891980360065485,0.05349932705248994,0.07400722021660666,0.05260850504164827,0.06960556844547527,0.056540084388185585,0.05162827640984902,0.04924242424242431,0.050717703349282495,0.04798551380715255,0.054054054054053946,0.043521594684385434,0.039056143205858485,0.03549695740365122,0.031727379553466495,0.03284072249589509
2023-10-27T15:00:00.000000000-04,0.06888168557536489,0.09756097560975618,0.04651162790697683,-0.17391304347826075,-0.2222222222222221,-0.4444444444444444,-0.4,-0.11428571428571421,-0.13333333333333341,0.10025706940874035,0.08163265306122458,-0.03389830508474556,-0.1212121212121211,-0.18181818181818188,-0.2222222222222221,0.0,0.09038737446197986,0.10244988864142535,0.07784431137724557,0.05940594059405946,0.031746031746031855,0.0,0.046979865771812124,-0.2400000000000001,-0.19130434782608685,-0.12722478576137108,-0.10711111111111116,-0.08932038834951461,-0.07524815882164593,-0.13021702838063443,-0.08596345514950166,-0.10893246187363836,-0.09098164405426978,-0.08960843373493987,-0.08742514970059889,-0.08325750682438571,-0.05859543300301595,-0.07126207126207129,-0.06289910600255422,-0.05964292721208553,-0.072265625,-0.052631578947368474,-0.03776595744680855
2023-10-27T16:00:00.000000000-04,-0.0015186028853454436,0.006389776357827559,-0.007407407407407529,-0.10526315789473695,-0.2857142857142857,0.0,0.0,0.0,-0.15384615384615385,-0.007025761124121677,-0.02515723270440251,0.0,0.0,0.0,0.0,0.0,-0.00525624178712214,-0.014112903225806495,-0.011111111111111072,-0.009433962264150941,-0.03076923076923077,0.0,-0.0064102564102563875,0.028000000000000025,0.02345415778251625,0.013574660633484337,0.010939830929885597,0.0029787234042553123,-0.0013821700069107656,0.007692307692307887,0.0068150840527032575,-0.004854368932038722,0.005253940455341555,0.0032948929159801743,0.0032679738562091387,,0.0074661689220718586,,0.0006779661016951266,0.004743246030109338,0.0021008403361344463,0.0011961722488038617,
2023-10-30T09:00:00.000000000-04,0.06397774687065372,0.09011627906976738,0.09523809523809534,0.1923076923076923,0.125,0.0,0.25,0.14634146341463405,0.21428571428571397,0.12475633528265107,0.1465968586387436,0.12857142857142878,0.11428571428571432,0.125,0.16666666666666674,0.25,0.08450704225352124,0.0953237410071941,0.12060301507537718,0.11965811965811968,0.13235294117647078,0.11363636363636354,0.10919540229885061,-0.17886178861788615,-0.16412213740458004,-0.14209401709401714,-0.11981865284974091,-0.11189570885388367,-0.0989761092150171,-0.11275964391691395,-0.09726962457337873,-0.10600706713780916,-0.10586881472957443,-0.08084163898117391,-0.09335576114381827,-0.08789182544560536,-0.08775981524249421,-0.0833691448216588,-0.07271241830065367,-0.060930232558139674,-0.06851119894598146,-0.0669767441860466,-0.04971319311663491
2023-10-30T10:00:00.000000000-04,-0.087890625,-0.10344827586206895,-0.08074534161490687,-0.32258064516129026,-0.2222222222222221,-0.2857142857142857,-0.4,-0.25531914893617025,-0.23529411764705876,-0.17211703958691904,-0.19730941704035887,-0.17721518987341778,-0.15384615384615385,0.0,0.0,0.0,-0.11827956989247324,-0.1260229132569558,-0.12444444444444447,-0.10687022900763365,-0.07792207792207795,-0.08163265306122447,-0.11855670103092786,0.27722772277227725,0.2739726027397258,0.2493734335839599,0.19940915805022175,0.19247378161628603,0.17104634495938842,0.18729096989966543,0.16772554002541318,0.14342629482071723,0.1645077720207253,0.16788321167883224,0.16089803554724047,0.14634146341463428,0.1441269841269841,0.1296383278534523,0.1323856063971569,0.09400646605322072,0.12091038406827903,0.1002004008016033,0.09054190508246385
2023-10-30T11:00:00.000000000-04,0.042826552462526646,0.05294117647058827,0.04729729729729737,0.09523809523809512,-0.2857142857142857,0.0,0.0,0.17142857142857149,0.0,0.084710743801653,0.11173184357541888,0.0923076923076922,0.06060606060606055,0.0,0.0,0.0,0.05696969696969689,0.06716417910447792,0.07614213197969555,0.06837606837606836,0.028169014084507005,0.0,0.05747126436781613,-0.1889763779527559,-0.1792114695340502,-0.12271805273833658,-0.09845201238390089,-0.09415416451112246,-0.07398273736128225,-0.12464589235127488,-0.07776560788608977,-0.09756097560975618,-0.08491620111731846,-0.08280922431865823,-0.0770478507704786,-0.07113218731475979,-0.06871508379888247,-0.05955851728446482,-0.05974842767295585,-0.043191634462377615,-0.06114649681528661,-0.04796710826861583,-0.037770897832817285
2023-10-30T12:00:00.000000000-04,-0.03764544832306649,-0.05865921787709494,-0.07096774193548394,-0.17391304347826075,0.0,0.0,0.0,-0.14634146341463428,-0.15384615384615385,-0.07265774378585099,-0.09137055837563446,-0.08450704225352101,-0.11428571428571421,0.0,0.0,0.0,-0.0527522935779815,-0.057793345008756436,-0.06635071090047406,-0.08000000000000007,-0.0547945205479452,-0.04444444444444451,-0.0652173913043479,0.11650485436893199,0.11353711790392995,0.09017341040462412,0.07255304585900069,0.06898517673888271,0.06072695035460973,0.07766990291262132,0.06164789567279194,0.05405405405405417,0.06090133982947621,0.058152793614595355,0.05701754385964919,0.054174633524537885,0.055721989215098855,0.05558025789239651,0.04983249581239546,0.03585846592258379,0.03924221921515558,0.035919540229885305,0.037815126050420256
2023-10-30T13:00:00.000000000-04,0.12144886363636376,0.1775147928994083,0.17931034482758612,0.736842105263158,0.7999999999999998,0.40000000000000013,0.0,0.5142857142857145,0.5454545454545454,0.2587268993839835,0.3425414364640882,0.36923076923076925,0.38709677419354827,0.0,0.0,0.0,0.16666666666666652,0.1973929236499068,0.2335025380710658,0.22608695652173916,0.2028985507246377,0.18604651162790709,0.2034883720930234,-0.37168141592920356,-0.3503937007874016,-0.2662406815761448,-0.22264875239923232,-0.2053475935828879,-0.1801424382069542,-0.24624624624624636,-0.179372197309417,-0.19780219780219777,-0.18800461361015008,-0.18594594594594605,-0.17720465890183024,-0.16322815533980595,-0.16268486916951075,-0.14963967782958876,-0.14502596883739527,-0.10896994723560449,-0.13298565840938714,-0.11249999999999993,-0.10031347962382431
2023-10-30T14:00:00.000000000-04,0.0025300442757749675,0.0,-0.005847953216374324,0.06060606060606055,0.0,0.0,0.0,0.0,0.0,0.003252032520325132,-0.00411522633744843,-0.02197802197802201,0.0,0.0,0.0,0.0,0.0,-0.006211180124223503,-0.016460905349794275,-0.014184397163120588,-0.02409638554216853,-0.03921568627450989,-0.019230769230769273,0.0,-0.04907975460122693,-0.040697674418604834,-0.028006589785831926,-0.012837837837837873,-0.007190549563430904,-0.015936254980079667,-0.019138755980861233,0.0,-0.014224751066856278,-0.010652463382157085,-0.01317122593718345,-0.01380813953488369,-0.014965986394557707,-0.016417910447761308,-0.008430913348946079,-0.002063983488132193,-0.00301659125188547,-0.010438413361169019,-0.008027923211169186
2023-10-30T15:00:00.000000000-04,-0.018867924528301883,-0.04260651629072676,-0.04117647058823537,-0.22857142857142843,-0.2222222222222221,0.0,0.0,-0.1132075471698114,-0.11764705882352922,-0.03721682847896435,-0.061475409836065587,-0.0674157303370787,-0.09302325581395343,0.0,0.0,0.0,-0.02579979360165119,-0.03100775193798455,-0.045643153526971125,-0.04999999999999993,-0.060975609756097615,-0.04081632653061229,-0.03921568627450989,-0.08450704225352101,-0.032467532467532534,0.019726858877086695,0.032258064516129004,0.022711631108052188,0.02127659574468077,0.008163265306122325,0.022330774598743774,-0.004587155963302836,0.026049204052098318,0.02425876010781658,0.02886597938144342,0.025849335302806642,0.02071823204419898,0.025862068965517127,0.01613668723303263,0.021415513188822066,0.01669195751138086,0.017960908610671122,0.00739697076435375
